time,fcnt,curDeg,tgtDeg,Ea_motor_mWh,Ei_motor_mWh,E_logic_mWh,E_solar_mWh,LDR_E,LDR_W,Vm_motor,Im_motor,Vm_logic,Im_logic,Vm_solar,Im_solar
2025-07-29 10:52:27.023790090+00:00,284,-6.4,-6.3,0.007,0.027,12.82,21.58,23,7,5.06,31.62,4.75,32.51,4.44,58.6
2025-07-29 10:57:26.979278989+00:00,285,-6.4,-4.1,0,0.029,13.62,20.24,13,4,0,0,4.77,34.43,4.43,55.08
2025-07-29 11:07:33.919943293+00:00,287,-0.4,0.3,0.006,0.028,12.54,20.57,20,10,5.05,35.02,4.78,31.64,4.43,55.98
2025-07-29 11:12:26.884253054+00:00,288,-0.4,2.6,0,0.024,12.29,21.28,20,11,0,0,4.78,30.98,4.43,57.85
2025-07-29 11:17:26.850589058+00:00,289,5.8,4.8,0.008,0.028,12.35,26.13,15,8,5.05,36.78,4.78,31.08,4.46,70.46
2025-07-29 11:22:33.821628685+00:00,290,5.8,7,0,0.03,12.13,20.63,16,8,0,0,4.78,30.56,4.43,56.17
2025-07-29 11:27:26.927555995+00:00,291,5.8,9.1,0,0.026,12.13,24.76,17,7,0,0,4.78,30.56,4.45,67.01
2025-07-29 11:32:33.810418746+00:00,292,12.2,11.3,0.005,0.026,12.47,33.74,3,0,5.05,32.84,4.78,31.42,4.5,90.27
2025-07-29 11:37:33.722582554+00:00,293,12.2,13.5,0,0.027,13.48,39.41,6,2,0,0,4.78,33.98,4.53,104.71
2025-07-29 11:42:26.690023311+00:00,294,12.2,15.6,0,0.025,13.54,28.54,1,0,0,0,4.76,34.19,4.47,76.83
2025-07-29 11:47:26.647192540+00:00,295,18.7,17.7,0.005,0.024,13.1,22.58,12,9,5.05,30.93,4.76,33.14,4.43,61.33
2025-07-29 12:02:33.671771473+00:00,298,24.9,24,0.006,0.026,12.2,17.72,21,15,5.07,32.72,4.76,30.82,4.41,48.39
2025-07-29 12:12:26.488451638+00:00,300,24.9,28,0,0.028,12.27,18.26,21,20,0,0,4.77,31.01,4.41,49.89
2025-07-29 12:17:26.461244315+00:00,301,31.1,29.9,0.006,0.026,12.33,14.18,19,33,5.06,31.37,4.77,31.18,4.38,38.96
2025-07-29 12:22:26.422048761+00:00,302,31.1,31.8,0,0.029,13.39,12.39,18,55,0,0,4.76,33.96,4.37,34.2
2025-07-29 12:27:26.400031870+00:00,303,31.1,33.7,0,0.033,13.37,10.09,27,29,0,0,4.76,33.93,4.36,27.95
2025-07-29 12:32:26.358857063+00:00,304,31.1,35.6,0,0.029,13.39,9.02,23,24,0,0,4.75,34,4.35,25.05
2025-07-29 12:37:26.347354943+00:00,305,37.6,37.4,0.005,0.031,13.42,9.83,19,18,5.04,33.98,4.75,34.1,4.36,27.22
2025-07-29 12:47:26.258037708+00:00,307,37.6,40.9,0,0.03,13.41,17.87,12,9,0,0,4.75,34.1,4.4,48.96
2025-07-29 12:52:26.225414285+00:00,308,43.8,42.6,0.005,0.029,13.35,15.64,20,93,5.05,35.55,4.75,33.94,4.39,42.99
2025-07-29 12:57:26.193159401+00:00,309,43.8,44.3,0,0.028,12.25,10.82,30,147,0,0,4.75,31.14,4.36,29.92
2025-07-29 13:02:26.159684779+00:00,310,43.8,46,0,0.025,12.22,10.33,23,54,0,0,4.75,31.08,4.36,28.6
